"Country","Region","Continent"
"ireland","Europe and Central Asia","Europe"
"iraq","Middle East and North Africa","Asia"
"iceland","Europe and Central Asia","Europe"
"israel","Middle East and North Africa","Asia"
"italy","Europe and Central Asia","Europe"
"jamaica","Latin America and Caribbean","Americas"
"jordan","Middle East and North Africa","Asia"
"japan","East Asia and Pacific","Asia"
"kazakhstan","Europe and Central Asia","Asia"
"kenya","Sub-Saharan Africa","Africa"
"cambodia","East Asia and Pacific","Asia"
"kuwait","Middle East and North Africa","Asia"
"lebanon","Middle East and North Africa","Asia"
"liberia","Sub-Saharan Africa","Africa"
"liechtenstein","Europe and Central Asia","Europe"
"sri lanka","South Asia","Asia"
"lesotho","Sub-Saharan Africa","Africa"
"lithuania","Europe and Central Asia","Europe"
"luxembourg","Europe and Central Asia","Europe"
"latvia","Europe and Central Asia","Europe"
"morocco","Middle East and North Africa","Africa"
"moldova","Europe and Central Asia","Europe"
"madagascar","Sub-Saharan Africa","Africa"
"maldives","South Asia","Asia"
"mexico","Latin America and Caribbean","Americas"
"mali","Sub-Saharan Africa","Africa"
"malta","Middle East and North Africa","Europe"
"mongolia","East Asia and Pacific","Asia"
"mozambique","Sub-Saharan Africa","Africa"
"mauritania","Sub-Saharan Africa","Africa"
"mauritius","Sub-Saharan Africa","Africa"
"malawi","Sub-Saharan Africa","Africa"
"malaysia","East Asia and Pacific","Asia"
"namibia","Sub-Saharan Africa","Africa"
"niger","Sub-Saharan Africa","Africa"
"nigeria","Sub-Saharan Africa","Africa"
"nicaragua","Latin America and Caribbean","Americas"
"netherlands","Europe and Central Asia","Europe"
"norway","Europe and Central Asia","Europe"
"nepal","South Asia","Asia"
"new zealand","East Asia and Pacific","Oceania"
"oman","Middle East and North Africa","Asia"
"pakistan","South Asia","Asia"
"panama","Latin America and Caribbean","Americas"
"peru","Latin America and Caribbean","Americas"
"philippines","East Asia and Pacific","Asia"
"papua new guinea","East Asia and Pacific","Oceania"
"poland","Europe and Central Asia","Europe"
"portugal","Europe and Central Asia","Europe"
"paraguay","Latin America and Caribbean","Americas"
"qatar","Middle East and North Africa","Asia"
"romania","Europe and Central Asia","Europe"
"rwanda","Sub-Saharan Africa","Africa"
"saudi arabia","Middle East and North Africa","Asia"
"sudan","Sub-Saharan Africa","Africa"
"senegal","Sub-Saharan Africa","Africa"
"singapore","East Asia and Pacific","Asia"
"solomon islands","East Asia and Pacific","Oceania"
"sierra leone","Sub-Saharan Africa","Africa"
"el salvador","Latin America and Caribbean","Americas"
"serbia","Europe and Central Asia","Europe"
"suriname","Latin America and Caribbean","Americas"
"slovenia","Europe and Central Asia","Europe"
"sweden","Europe and Central Asia","Europe"
"swaziland","Sub-Saharan Africa","Africa"
"seychelles","Sub-Saharan Africa","Africa"
"chad","Sub-Saharan Africa","Africa"
"togo","Sub-Saharan Africa","Africa"
"thailand","East Asia and Pacific","Asia"
"tajikistan","Europe and Central Asia","Asia"
"turkmenistan","Europe and Central Asia","Asia"
"tonga","East Asia and Pacific","Oceania"
"trinidad and tobago","Latin America and Caribbean","Americas"
"tunisia","Middle East and North Africa","Africa"
"turkey","Europe and Central Asia","Asia"
"uganda","Sub-Saharan Africa","Africa"
"ukraine","Europe and Central Asia","Europe"
"uruguay","Latin America and Caribbean","Americas"
"united states","North America","Americas"
"uzbekistan","Europe and Central Asia","Asia"
"vietnam","East Asia and Pacific","Asia"
"vanuatu","East Asia and Pacific","Oceania"
"samoa","East Asia and Pacific","Oceania"
"south africa","Sub-Saharan Africa","Africa"
"zambia","Sub-Saharan Africa","Africa"
"zimbabwe","Sub-Saharan Africa","Africa"
